Dilution Rates_trt,Dry Weight ,Final Dry Weight,
D1 (W),16.76,9.284,7.476
D1 (W),16.17,8.694,7.476
D1 (W),15.66,8.184,7.476
D1 (W),16.54,9.064,7.476
D1 (W),13.47,5.994,7.476
D1 (W),16.26,8.784,7.476
D1 (W),17.17,9.694,7.476
D1 (W),14.44,6.964,7.476
D1 (W),13.73,6.254,7.476
D1 (W),12.08,4.604,7.476
D0,14.88,7.404,7.476
D0,15.02,7.544,7.476
D0,15.69,8.214,7.476
D0,15.59,8.114,7.476
D0,14.72,7.244,7.476
D0,16.15,8.674,7.476
D0,14.29,6.814,7.476
D0,15.38,7.904,7.476
D0,15.17,7.694,7.476
D0,17.97,10.494,7.476
D0,15.71,8.234,7.476
D0,12.2,4.724,7.476
D0,16.81,9.334,7.476
D0,16.21,8.734,7.476
D0,14.04,6.564,7.476
D0,18.46,10.984,7.476
D0,17.97,10.494,7.476
D0,17.44,9.964,7.476
D0,11.67,4.194,7.476
D0,15.87,8.394,7.476
D0,12.46,4.984,7.476
D0,14.08,6.604,7.476
D0,14.98,7.504,7.476
D0,13.15,5.674,7.476
D0,11.19,3.714,7.476
D2 (W),18.19,10.714,7.476
D2 (W),15.59,8.114,7.476
D2 (W),15.11,7.634,7.476
D2 (W),16.91,9.434,7.476
D2 (W),18.51,11.034,7.476
D2 (W),16.85,9.374,7.476
D2 (W),15.82,8.344,7.476
D2 (W),17.45,9.974,7.476
D2 (W) ,14.79,7.314,7.476
D2 (W) ,12.15,4.674,7.476
D3 (W),14.15,6.674,7.476
D3 (W),15.58,8.104,7.476
D3 (W),16.24,8.764,7.476
D3 (W),15.37,7.894,7.476
D3 (W),15.06,7.584,7.476
D3 (W),19.5,12.024,7.476
D3 (W),16.28,8.804,7.476
D3 (W),16.87,9.394,7.476
D3 (W),12.84,5.364,7.476
D3 (W),14.63,7.154,7.476
D4 (W),15.84,8.364,7.476
D4 (W),15.11,7.634,7.476
D4 (W),16.56,9.084,7.476
D4 (W),16.59,9.114,7.476
D4 (W),16.8,9.324,7.476
D4 (W),15.85,8.374,7.476
D4 (W),18.91,11.434,7.476
D4 (W),13.94,6.464,7.476
D4 (W),14.15,6.674,7.476
D4 (W),14.14,6.664,7.476
D5 (W),15.68,8.204,7.476
D5 (W),16.63,9.154,7.476
D5 (W),15.78,8.304,7.476
D5 (W),16.26,8.784,7.476
D5 (W),16.03,8.554,7.476
D5 (W),20.95,13.474,7.476
D5 (W),16.65,9.174,7.476
D5 (W),17.03,9.554,7.476
D5 (W),13.18,5.704,7.476
D5 (W),12.31,4.834,7.476
